    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x554439e4
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x7439dad1
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x554439e4
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x7439dad1
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff070030, 0x4, 0x5b33c2da
    009, EVENT_TYPE_MMIO_WRITE, 0xff070004, 0x4, 0x6847773b
    009, EVENT_TYPE_MMIO_WRITE, 0xff070030, 0x4, 0x5b33c2da
    009, EVENT_TYPE_MMIO_WRITE, 0xff070000, 0x4, 0x7a9e77fa
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff070038, 0x4, 0x3730c1d8
    009, EVENT_TYPE_MMIO_WRITE, 0xff070038, 0x4, 0x3730c1d8
    009, EVENT_TYPE_MMIO_WRITE, 0xff070038, 0x4, 0x3730c1d8
    009, EVENT_TYPE_MMIO_WRITE, 0xff070038, 0x4, 0x3730c1d8
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
    009, EVENT_TYPE_MMIO_WRITE, 0xff07003c, 0x4, 0x1f9c3bcd
